source,target,relation
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:899""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:963""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1323""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:154""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:708""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1301""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1289""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1338""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1018""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1181""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1008""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:820""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:626""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1252""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:862""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:479""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:0""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:2""","""4:964ea883-2693-4303-b60b-a2ba95416a01:724""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:3""","""4:964ea883-2693-4303-b60b-a2ba95416a01:974""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:976""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:738""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1186""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1183""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1044""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:4""","""4:964ea883-2693-4303-b60b-a2ba95416a01:876""","""CAPEC_TO_TECHNIQUE"""
